employee_id,first_name,last_name,email,department,job_title,salary,hire_date,city,state,latitude,longitude,status
1,Jessica,Anderson,jessica.anderson@gmail.com,Sales,Sales Representative,86752,2017-09-30,Austin,Texas,30.28487,-97.703882,active
2,Susan,Anderson,susan.anderson@outlook.com,Product,Product Manager,134330,2019-04-04,Los Angeles,California,34.073802,-118.223568,active
3,Timothy,Hernandez,timothy.hernandez@outlook.com,Design,Product Designer,111771,2021-04-07,San Francisco,California,37.752687,-122.447869,active
4,Daniel,Thompson,daniel.thompson@outlook.com,Engineering,Engineering Manager,181863,2023-01-15,Los Angeles,California,34.048142,-118.281217,inactive
5,Laura,White,laura.white@outlook.com,Engineering,Staff Engineer,172018,2023-11-07,Portland,Oregon,45.531326,-122.651093,inactive
6,Sarah,Robinson,sarah.robinson@outlook.com,HR,HR Specialist,107232,2016-08-26,Chicago,Illinois,41.844365,-87.644273,active
7,Kenneth,Hernandez,kenneth.hernandez@outlook.com,Sales,Sales Representative,95832,2017-10-30,Portland,Oregon,45.48154,-122.690454,inactive
8,Rebecca,Brown,rebecca.brown@gmail.com,Sales,Account Executive,85015,2016-10-15,Denver,Colorado,39.769705,-105.000184,active
9,Michelle,Young,michelle.young@yahoo.com,Finance,Finance Manager,144832,2018-10-18,New York,New York,40.676763,-73.981501,active
10,Margaret,White,margaret.white@gmail.com,Sales,Enterprise Account Executive,93290,2024-06-15,Portland,Oregon,45.514552,-122.652822,active
11,Joshua,Jones,joshua.jones@yahoo.com,Engineering,Senior Software Engineer,193665,2021-09-22,Chicago,Illinois,41.881011,-87.582692,active
12,Carol,Wright,carol.wright@yahoo.com,Engineering,Data Engineer,158126,2017-05-21,Los Angeles,California,34.036218,-118.26435,active
13,Steven,Lopez,steven.lopez@outlook.com,Engineering,Data Engineer,150871,2024-10-24,Austin,Texas,30.27973,-97.708933,active
14,Paul,King,paul.king@gmail.com,Engineering,Staff Engineer,164770,2019-04-16,Seattle,Washington,47.567387,-122.345802,inactive
